Telaio	Status	Modello	Data Gated In	Data Consegna	Tecnico	Carrozzeria 1	Carrozzeria extra	Bisarchista	1	2	3	4	5	6	7	8	9	10	Note
KT642057	IC–INCarrozzeria	COMPASS	11/03/2020		Juliano	Eurocar	X Car		MOD LATO SX  Porta Post	CORRIMANO sx	FARO ANT. SX								
KT606501	PF–Preparazionefinale	COMPASS	13/03/2020		Juliano	Eurocar			MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST	fanale post DX COFANO POST	FANALE POST SX (PA)	3° STOP						Fanale post dx del portellone, coprimontante ant dx, coprimontante post porta post sx, fascione baule no telecamera, terzostop
KPK20512	Pronta x consegna	RENEGADE	13/03/2020		Juliano	Eurocar			CATARINFRANGENTE ANT SX	3° STOP									
KT586658	FA-Fatturato	COMPASS	21/01/2020	10/02/2020	Leo	Eurocar			MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST NERE	FANALE POST SX (PA)	FIANCHETTO MODATUR POST DX PORTA POSTERIORE	MOD COFANO POST NERA							rifare tetto nero
KPJ57732	PF–Preparazionefinale	RENEGADE	13/03/2020		Rafael	Eurocar			PARABREZZA	3° STOP	RASAVETRO ANT DX								 tergicristallo Plastica interna montante  dx, raschiavetro ant sx
KT609673	Pronta x consegna	COMPASS	13/03/2020		Rafael	Eurocar	X Car		Calandra tra cofano e parabrezza	MOD LATO DX ANT/POST/PARAFANGO POST	MOD COFANO POST	FANALE POST DX							
KT631409	Pronta x consegna	COMPASS	13/03/2020		Rafael	Eurocar			FANALE POST.DX (PA)	CORRIMANO DX	MOD LATO DX  ANT/POST/PARAFANGO POST	FANALE ANT. DX	CORRIMANO DX						
KT762275	Pronta x consegna	COMPASS	19/02/2020		Rafael	Eurocar	X Car		 COFANO POST	MOD LATO DX  P	PARABREZZA	MOD LATO SX  P/PA	MOD COFANO POST						
KPK20551	Pronta x consegna	RENEGADE	28/02/2020		Rafael	Eurocar	X Car		3° stop										
KT663248	Pronta x consegna	COMPASS	27/02/2020		Rafael	Eurocar	X Car		LUNOTTO	MOD LATO SX A	MOD LATO DX ANT/POST/PARAFANGO POST	Calandra tra cofano e parabrezza							
KPJ50478	FA-Fatturato	RENEGADE	17/01/2020	10/03/2020	Roberto	Eurocar	X Car		faro post dx										
KT742809	PF–Preparazionefinale	COMPASS	20/02/2020		Roberto	Eurocar	X Car		PARABREZZA	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST	CORRIMANO SX	FARO POST SX						Cofano, copribarra cromata tetto sx, modanatura cromata ant sx
7520273	FA-Fatturato	GIULIETTA	10/02/2020	09/03/2020	Rafael	Eurocar 			FANALE P0ST DX 	FARO ANT DX 	CORPO SPECCHIO DX								X eurocar? Solo spoiler post
